,imodulon,annotation,pvalue,qvalue,precision,recall,f1score,TP,target_set_size,imodulon_size,source,pathway_name,module_name
0,1,structural constituent of ribosome,4.033821303280666e-29,3.51345835515746e-26,0.31343283582089554,0.5833333333333334,0.4077669902912622,21.0,36.0,67.0,GO,,
1,1,cytosolic large ribosomal subunit,1.0950988511922752e-21,4.769155496942358e-19,0.208955223880597,0.7368421052631579,0.3255813953488372,14.0,19.0,67.0,GO,,
2,1,cytosolic small ribosomal subunit,3.988856114645152e-07,0.00011580978919519758,0.07462686567164178,0.5,0.12987012987012986,5.0,10.0,67.0,GO,,
3,1,translation,1.218766736034049e-06,0.00026538645677141415,0.07462686567164178,0.4166666666666667,0.12658227848101264,5.0,12.0,67.0,GO,,
4,1,RNA binding,5.577348686212837e-05,0.009715741411382761,0.04477611940298507,0.6,0.08333333333333333,3.0,5.0,67.0,GO,,
5,1,cytoplasmic translation,0.00032485063262059627,0.04042070014464848,0.029850746268656716,1.0,0.05797101449275362,2.0,2.0,67.0,GO,,
6,1,large ribosomal subunit rRNA binding,0.00032485063262059627,0.04042070014464848,0.029850746268656716,1.0,0.05797101449275362,2.0,2.0,67.0,GO,,
7,17,plasma membrane-derived thylakoid photosystem II,6.278897897450813e-05,0.05468920068679658,0.05970149253731343,0.3076923076923077,0.09999999999999999,4.0,16.0,67.0,GO,,
0,0,map04141,0.0002962003054559568,0.06249826445120688,0.03125,1.0,0.06060606060606061,2.0,2.0,64.0,KEGG pathways,Protein processing in endoplasmic reticulum,
1,1,map03010,1.563305609881123e-33,3.2985748368491693e-31,0.3880597014925373,0.49056603773584906,0.4333333333333333,26.0,53.0,67.0,KEGG pathways,Ribosome,
2,3,map02010,5.167327986781876e-09,1.0903062052109757e-06,0.32142857142857145,0.10714285714285714,0.16071428571428573,9.0,84.0,28.0,KEGG pathways,ABC transporters,
3,9,map02010,6.517584991029452e-06,0.0013752104331072141,0.21212121212121213,0.08333333333333333,0.11965811965811965,7.0,84.0,33.0,KEGG pathways,ABC transporters,
4,13,map00196,2.6232742022040206e-05,0.005535108566650483,0.052083333333333336,0.3333333333333333,0.0900900900900901,5.0,15.0,96.0,KEGG pathways,Photosynthesis - antenna proteins,
5,14,map00910,3.1642129407062676e-10,6.676489304890224e-08,0.23076923076923078,0.4,0.29268292682926833,6.0,15.0,26.0,KEGG pathways,Nitrogen metabolism,
6,14,map02010,0.00024489621036089324,0.01498222160435087,0.19230769230769232,0.05952380952380952,0.09090909090909091,5.0,84.0,26.0,KEGG pathways,ABC transporters,
7,14,map04724,0.0001426301536727886,0.01498222160435087,0.07692307692307693,0.6666666666666666,0.13793103448275862,2.0,3.0,26.0,KEGG pathways,Glutamatergic synapse,
8,14,map04727,0.0002840231583763198,0.01498222160435087,0.07692307692307693,0.5,0.13333333333333336,2.0,4.0,26.0,KEGG pathways,GABAergic synapse,
9,14,map04217,0.00047131966162511525,0.019889689720579865,0.07692307692307693,0.4,0.12903225806451613,2.0,5.0,26.0,KEGG pathways,Necroptosis,
10,15,map00195,0.00013722576123919382,0.028954635621469892,0.05357142857142857,0.20689655172413793,0.08510638297872339,12.0,58.0,224.0,KEGG pathways,Photosynthesis,
11,17,map00195,1.85517140695415e-23,3.914411668673256e-21,0.31343283582089554,0.3620689655172414,0.336,21.0,58.0,67.0,KEGG pathways,Photosynthesis,
12,17,map00196,5.444976136951845e-15,5.744449824484196e-13,0.14925373134328357,0.6666666666666666,0.24390243902439024,10.0,15.0,67.0,KEGG pathways,Photosynthesis - antenna proteins,
13,17,map01100,6.931914109988018e-12,4.87544625735824e-10,0.5074626865671642,0.06039076376554174,0.10793650793650794,34.0,563.0,67.0,KEGG pathways,Metabolic pathways,
14,17,map00710,0.00025091299065587667,0.013235660257097492,0.05970149253731343,0.2222222222222222,0.09411764705882353,4.0,18.0,67.0,KEGG pathways,Carbon fixation in photosynthetic organisms,
0,1,M00178,1.563305609881123e-33,3.3611070612444145e-31,0.3880597014925373,0.49056603773584906,0.4333333333333333,26.0,53.0,67.0,KEGG modules,,"Ribosome, bacteria"
1,1,M00179,1.1143885942874151e-31,1.1979677388589713e-29,0.31343283582089554,0.7,0.4329896907216495,21.0,30.0,67.0,KEGG modules,,"Ribosome, archaea"
2,3,M00222,1.0873442330027333e-18,2.3377901009558766e-16,0.32142857142857145,0.8181818181818182,0.46153846153846156,9.0,11.0,28.0,KEGG modules,,Phosphate transport system
3,4,M00316,4.3503750575476835e-08,9.35330637372752e-06,0.21428571428571427,1.0,0.35294117647058826,3.0,3.0,14.0,KEGG modules,,Manganese transport system
4,5,M00246,5.352879602836615e-05,0.011508691146098721,0.012618296529968454,1.0,0.024922118380062308,4.0,4.0,317.0,KEGG modules,,Nickel transport system
5,5,M00245,0.0006285371686511129,0.06756774562999464,0.00946372239747634,1.0,0.018750000000000003,3.0,3.0,317.0,KEGG modules,,Cobalt/nickel transport system
6,9,M00240,2.636183724063385e-08,5.6677950067362775e-06,0.12121212121212122,0.8,0.2105263157894737,4.0,5.0,33.0,KEGG modules,,Iron complex transport system
7,9,M00190,6.441445980757586e-06,0.0006924554429314405,0.09090909090909091,0.6,0.15789473684210525,3.0,5.0,33.0,KEGG modules,,Iron(III) transport system
8,13,M00155,0.00032252980295127215,0.06934390763452351,0.03125,0.5,0.058823529411764705,3.0,6.0,96.0,KEGG modules,,"Cytochrome c oxidase, prokaryotes"
9,13,M00154,0.0006699768813884756,0.07202251474926114,0.020833333333333332,1.0,0.04081632653061225,2.0,2.0,96.0,KEGG modules,,Cytochrome c oxidase
10,13,M00004,0.0012795106034541287,0.09169825991421256,0.03125,0.3333333333333333,0.05714285714285714,3.0,9.0,96.0,KEGG modules,,Pentose phosphate pathway (Pentose phosphate cycle)
11,14,M00323,3.0784035064239225e-06,0.0006618567538811433,0.11538461538461539,0.6,0.1935483870967742,3.0,5.0,26.0,KEGG modules,,Urea transport system
12,14,M00438,0.0002840231583763198,0.03053248952545438,0.07692307692307693,0.5,0.13333333333333336,2.0,4.0,26.0,KEGG modules,,Nitrate/nitrite transport system
13,17,M00161,2.299900486112208e-09,4.944786045141247e-07,0.08955223880597014,0.6666666666666666,0.15789473684210525,6.0,9.0,67.0,KEGG modules,,Photosystem II
14,17,M00163,1.0048869759021311e-08,1.080253499094791e-06,0.07462686567164178,0.8333333333333334,0.136986301369863,5.0,6.0,67.0,KEGG modules,,Photosystem I
15,17,M00165,6.278897897450813e-05,0.004499876826506416,0.05970149253731343,0.3076923076923077,0.09999999999999999,4.0,13.0,67.0,KEGG modules,,Reductive pentose phosphate cycle (Calvin cycle)
16,19,M00316,0.0001741267495732796,0.037437251158255115,0.014492753623188406,1.0,0.02857142857142857,3.0,3.0,207.0,KEGG modules,,Manganese transport system
